line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.671057590617225E+05   21.997187  4.724174  4.568896  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4863  4.568896   -7.378  0.725304  7.583705  0.7168935E+00  0.2688117E+00  2.8301371E-05  7.7215381E-06  3.9176655E-03  5.0265232E-03  1.6138182E-05  1.6050656E-08  1.8761568E-03  5.5207794E-05  2.917E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.063689  0.0000000E+00  0.0000000000E+00
  2  0.218574918091196E+06   21.990837  4.728341  4.565051  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4840  4.565051   -7.376  0.706910  7.578286  0.7085318E+00  0.2773419E+00  3.6258411E-05  9.8894688E-06  5.0927765E-03  3.6739539E-03  1.2241814E-05  1.1911502E-08  1.8744243E-03  4.9351266E-06  8.681E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.064321  0.0000000E+00  0.0000000000E+00
  3  0.370044077120670E+06   21.984419  4.732681  4.562862  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4810  4.562862   -7.370  0.697339  7.575813  0.7001887E+00  0.2857913E+00  4.1238798E-05  1.1247660E-05  5.8250918E-03  2.8312428E-03  9.5381921E-06  9.2098322E-09  1.8730138E-03  6.0605850E-07  1.202E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.064986  0.0000000E+00  0.0000000000E+00
  4  0.516903305223161E+06   21.978097  4.737202  4.561358  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4786  4.561358   -7.363  0.691485  7.574533  0.6920336E+00  0.2940192E+00  4.4823239E-05  1.2226409E-05  6.3259358E-03  2.2547017E-03  7.5787216E-06  7.3537452E-09  1.8717799E-03  1.2715227E-07  1.402E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.065685  0.0000000E+00  0.0000000000E+00
  5  0.665079656447646E+06   21.971605  4.741791  4.560203  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4754  4.560203   -7.354  0.687525  7.573905  0.6837269E+00  0.3023807E+00  4.7310856E-05  1.2903186E-05  6.7035082E-03  1.8203640E-03  6.1661983E-06  5.9353066E-09  1.8706099E-03  6.4837567E-08  1.526E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.066403  0.0000000E+00  0.0000000000E+00
  6  0.810374777793110E+06   21.965115  4.746432  4.559198  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4728  4.559198   -7.346  0.684696  7.573631  0.6754546E+00  0.3106946E+00  4.9361870E-05  1.3463422E-05  6.9900347E-03  1.4905431E-03  5.0327265E-06  4.8555239E-09  1.8695014E-03  5.9653776E-08  1.597E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.067136  0.0000000E+00  0.0000000000E+00
  7  0.953734792154226E+06   21.958583  4.751116  4.558322  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4702  4.558322   -7.337  0.682682  7.573616  0.6671740E+00  0.3190076E+00  5.0986044E-05  1.3906297E-05  7.2132179E-03  1.2335864E-03  4.1571623E-06  4.0201879E-09  1.8684306E-03  6.3046975E-08  1.631E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.067884  0.0000000E+00  0.0000000000E+00
  8  0.109515511708546E+07   21.952009  4.755741  4.557522  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4677  4.557522   -7.328  0.681198  7.573776  0.6588888E+00  0.3273184E+00  5.2302120E-05  1.4265368E-05  7.3896493E-03  1.0304069E-03  3.4603698E-06  3.3565571E-09  1.8673868E-03  6.8279760E-08  1.639E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.068631  0.0000000E+00  0.0000000000E+00
